season,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,bet_merge_code
20222023,Arsenal,Tottenham,3.0,1.0,2.05,3.75,3.3,20222023_11_17_Home
20222023,Bournemouth,Brentford,0.0,0.0,3.3,3.4,2.2,20222023_24_21_Home
20222023,Crystal Palace,Chelsea,1.0,2.0,4.2,3.6,1.85,20222023_16_1_Home
20222023,Fulham,Newcastle,1.0,4.0,3.0,3.4,2.37,20222023_18_15_Home
20222023,Liverpool,Brighton,3.0,3.0,1.33,5.25,8.5,20222023_3_19_Home
20222023,Southampton,Everton,1.0,2.0,2.15,3.4,3.4,20222023_7_5_Home
20222023,West Ham,Wolves,2.0,0.0,1.95,3.5,4.2,20222023_9_8_Home
20222023,Man City,Man United,6.0,3.0,1.33,5.75,7.5,20222023_4_14_Home
20222023,Leeds,Aston Villa,0.0,0.0,2.35,3.4,3.0,20222023_10_20_Home
20222023,Leicester,Nott'm Forest,4.0,0.0,1.75,4.0,4.33,20222023_6_25_Home
20222023,Bournemouth,Leicester,2.0,1.0,3.6,3.4,2.05,20222023_24_6_Home
20222023,Chelsea,Wolves,3.0,0.0,1.4,4.5,8.0,20222023_1_8_Home
20222023,Man City,Southampton,4.0,0.0,1.11,10.0,17.0,20222023_4_7_Home
20222023,Newcastle,Brentford,5.0,1.0,1.83,3.8,4.2,20222023_15_21_Home
20222023,Brighton,Tottenham,0.0,1.0,2.8,3.4,2.5,20222023_19_17_Home
20222023,Crystal Palace,Leeds,2.0,1.0,2.05,3.5,3.6,20222023_16_10_Home
20222023,West Ham,Fulham,3.0,1.0,1.72,3.8,4.75,20222023_9_18_Home
20222023,Arsenal,Liverpool,3.0,2.0,2.5,3.6,2.62,20222023_11_3_Home
20222023,Everton,Man United,1.0,2.0,3.6,3.5,2.05,20222023_5_14_Home
20222023,Nott'm Forest,Aston Villa,1.0,1.0,3.3,3.4,2.2,20222023_25_20_Home
20222023,Brentford,Brighton,2.0,0.0,3.1,3.4,2.3,20222023_21_19_Home
20222023,Leicester,Crystal Palace,0.0,0.0,2.3,3.4,3.1,20222023_6_16_Home
20222023,Fulham,Bournemouth,2.0,2.0,1.85,3.75,4.0,20222023_18_24_Home
20222023,Wolves,Nott'm Forest,1.0,0.0,1.7,3.75,5.0,20222023_8_25_Home
20222023,Tottenham,Everton,2.0,0.0,1.5,4.5,6.5,20222023_17_5_Home
20222023,Aston Villa,Chelsea,0.0,2.0,4.33,3.75,1.8,20222023_20_1_Home
20222023,Leeds,Arsenal,0.0,1.0,6.0,4.2,1.55,20222023_10_11_Home
20222023,Man United,Newcastle,0.0,0.0,1.95,3.8,3.5,20222023_14_15_Home
20222023,Southampton,West Ham,1.0,1.0,2.9,3.4,2.4,20222023_7_9_Home
20222023,Liverpool,Man City,1.0,0.0,3.6,4.0,1.9,20222023_3_4_Home
20222023,Brighton,Nott'm Forest,0.0,0.0,1.4,4.75,7.0,20222023_19_25_Home
20222023,Crystal Palace,Wolves,2.0,1.0,2.25,3.1,3.4,20222023_16_8_Home
20222023,Bournemouth,Southampton,0.0,1.0,2.62,3.3,2.62,20222023_24_7_Home
20222023,Brentford,Chelsea,0.0,0.0,4.75,3.8,1.72,20222023_21_1_Home
20222023,Liverpool,West Ham,1.0,0.0,1.4,5.0,7.0,20222023_3_9_Home
20222023,Newcastle,Everton,1.0,0.0,1.6,3.8,5.75,20222023_15_5_Home
20222023,Man United,Tottenham,2.0,0.0,2.45,3.5,2.75,20222023_14_17_Home
20222023,Fulham,Aston Villa,3.0,0.0,2.9,3.3,2.5,20222023_18_20_Home
20222023,Leicester,Leeds,2.0,0.0,2.25,3.6,3.0,20222023_6_10_Home
20222023,Nott'm Forest,Liverpool,1.0,0.0,11.0,6.0,1.25,20222023_25_3_Home
20222023,Everton,Crystal Palace,3.0,0.0,2.6,3.2,2.87,20222023_5_16_Home
20222023,Man City,Brighton,3.0,1.0,1.2,7.0,13.0,20222023_4_19_Home
20222023,Chelsea,Man United,1.0,1.0,2.05,3.5,3.5,20222023_1_14_Home
20222023,Aston Villa,Brentford,4.0,0.0,2.1,3.5,3.5,20222023_20_21_Home
20222023,Leeds,Fulham,2.0,3.0,2.05,3.5,3.6,20222023_10_18_Home
20222023,Southampton,Arsenal,1.0,1.0,6.0,4.0,1.57,20222023_7_11_Home
