code_player,web_name,now_cost,new_team_name,element_type,minutes,points_total,goals,xg,finishing,xgfinish,xg_points,assists,xa,assist_quality,xaquality,xcsp90,xcs_points,xa_points,x_points
214572.0,Austin,40.0,Spurs,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
215059.0,Sánchez,45.0,Brighton,1.0,630.0,24.0,0.0,0.0,,,,0.0,0.0,,,0.3292,8.29584,,
216208.0,Šarkić,40.0,Wolves,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
217331.0,Surridge,45.0,Nottingham Forest,4.0,147.0,17.0,1.0,1.32,,,,0.0,0.0,,,0.01798,0.0,,
220307.0,Danjuma,55.0,Everton,3.0,162.0,15.0,1.0,0.84,,,,0.0,0.07,,,0.31048,0.5029776,,
220585.0,Downes,50.0,West Ham,3.0,488.0,17.0,0.0,0.18,,,,0.0,0.09,,,0.23092,1.1268896,,
221403.0,Laryea,45.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
222017.0,Coventry,45.0,West Ham,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
224068.0,Turner,40.0,Arsenal,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
229600.0,Travers,40.0,Bournemouth,1.0,180.0,5.0,0.0,0.0,,,,0.0,0.0,,,0.20986,1.510992,,
232859.0,Spence,40.0,Spurs,2.0,2.0,1.0,0.0,0.0,,,,0.0,0.0,,,-1.36964,-0.1095712,,
235448.0,Balcombe,40.0,Brentford,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
240299.0,Hodge,45.0,Wolves,3.0,36.0,2.0,0.0,0.16,,,,0.0,0.02,,,0.11626,0.0418536,,
240514.0,Scherpen,40.0,Brighton,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
242885.0,Mbe Soh,40.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
244042.0,Muniz,45.0,Fulham,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
244930.0,Mighten,45.0,Nottingham Forest,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.08264,0.0,,
245923.0,Cundle,45.0,Wolves,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
248164.0,Sinisalo,40.0,Aston Villa,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
