season,Div,Date,Time,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,result,HT_team_goals,HT_opp_team_goals,HT_result,Referee,team_shots,opp_team_shots,team_SoT,opp_team_SoT,team_fouls,opp_team_fouls,team_corners,opp_team_corners,team_yellows,opp_team_yellows,team_reds,opp_team_reds,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,Market_max_win_odds,Market_max_draw_odds,Market_max_lose_odds,Market_avg_win_odds,Market_avg_draw_odds,Market_avg_lose_odds,Bet365_over2_5_goals_odds,Bet365_under2_5_goals_odds,Market_max_over2_5_goals_odds,Market_max_under2_5_goals_odds,Market_avg_over2_5_goals_odds,Market_avg_under2_5_goals_odds,venue,bet_team_code_recoded,bet_opp_team_code_recoded,bet_merge_code
20222023,E0,2022-08-13,15:00,Wolves,Fulham,0.0,0.0,D,0.0,0.0,D,J Brooks,7.0,9.0,1.0,3.0,7.0,14.0,5.0,3.0,3.0,3.0,0.0,0.0,2.3,3.3,3.2,2.48,3.46,3.29,2.4,3.28,3.15,2.1,1.72,2.2,1.79,2.11,1.75,Home,8,18,20222023_8_18_Home
20222023,E0,2022-08-13,17:30,Brentford,Man United,4.0,0.0,H,4.0,0.0,H,S Attwell,13.0,15.0,7.0,4.0,6.0,15.0,8.0,2.0,0.0,4.0,0.0,0.0,3.75,3.5,2.0,4.04,3.65,2.08,3.77,3.56,2.02,1.8,2.0,1.86,2.11,1.82,2.02,Home,21,14,20222023_21_14_Home
20222023,E0,2022-08-14,14:00,Nott'm Forest,West Ham,1.0,0.0,H,1.0,0.0,H,R Jones,13.0,19.0,6.0,5.0,10.0,11.0,6.0,7.0,4.0,1.0,0.0,0.0,4.2,3.6,1.85,4.4,3.75,1.94,4.21,3.64,1.9,1.92,1.98,1.95,2.01,1.9,1.93,Home,25,9,20222023_25_9_Home
20222023,E0,2022-08-14,16:30,Chelsea,Tottenham,2.0,2.0,D,1.0,0.0,H,A Taylor,16.0,10.0,3.0,5.0,9.0,9.0,8.0,5.0,3.0,0.0,0.0,0.0,2.25,3.4,3.2,2.38,3.55,3.36,2.29,3.44,3.21,1.98,1.92,2.02,1.97,1.94,1.89,Home,1,17,20222023_1_17_Home
20222023,E0,2022-08-15,20:00,Liverpool,Crystal Palace,1.0,1.0,D,0.0,1.0,A,P Tierney,24.0,7.0,4.0,3.0,7.0,8.0,4.0,2.0,2.0,4.0,1.0,0.0,1.18,6.75,16.0,1.23,7.23,19.0,1.2,6.85,16.33,1.57,2.37,1.57,2.57,1.55,2.46,Home,3,16,20222023_3_16_Home
20222023,E0,2022-08-20,12:30,Tottenham,Wolves,1.0,0.0,H,0.0,0.0,D,S Hooper,11.0,20.0,4.0,3.0,10.0,8.0,8.0,6.0,2.0,2.0,0.0,0.0,1.4,4.75,7.5,1.44,5.14,8.5,1.41,4.88,7.96,1.72,2.1,1.76,2.21,1.73,2.14,Home,17,8,20222023_17_8_Home
20222023,E0,2022-08-20,15:00,Crystal Palace,Aston Villa,3.0,1.0,H,1.0,1.0,D,A Madley,17.0,13.0,9.0,5.0,16.0,14.0,4.0,2.0,2.0,1.0,0.0,0.0,2.5,3.25,2.9,2.6,3.35,3.16,2.52,3.2,3.0,2.2,1.66,2.29,1.75,2.19,1.69,Home,16,20,20222023_16_20_Home
20222023,E0,2022-08-20,15:00,Everton,Nott'm Forest,1.0,1.0,D,0.0,0.0,D,A Marriner,19.0,14.0,8.0,5.0,6.0,9.0,6.0,2.0,3.0,2.0,0.0,0.0,1.9,3.6,4.0,2.02,3.64,4.3,1.97,3.48,4.05,2.1,1.72,2.12,1.82,2.06,1.78,Home,5,25,20222023_5_25_Home
20222023,E0,2022-08-20,15:00,Fulham,Brentford,3.0,2.0,H,2.0,1.0,H,P Bankes,18.0,13.0,9.0,5.0,13.0,7.0,6.0,3.0,3.0,2.0,0.0,0.0,2.45,3.4,2.9,2.62,3.54,3.04,2.46,3.42,2.92,1.96,1.94,2.05,1.98,1.93,1.9,Home,18,21,20222023_18_21_Home
20222023,E0,2022-08-20,15:00,Leicester,Southampton,1.0,2.0,A,0.0,0.0,D,M Salisbury,6.0,9.0,1.0,3.0,11.0,15.0,2.0,5.0,2.0,3.0,0.0,0.0,1.83,4.0,4.0,1.88,4.1,4.2,1.85,3.97,4.01,1.61,2.3,1.67,2.39,1.63,2.29,Home,6,7,20222023_6_7_Home
