web_name,name,code,22_FPL_code,fbref_id
Dahoud,Brighton,168090,,db4ed67b
Dunk,Brighton,83299,83299,282f75f3
Enciso,Brighton,474120,474120,9cfbad36
Estupiñan,Brighton,204214,204214,d38fdf53
Ferguson,Brighton,487117,487117,4596da74
Gilmour,Brighton,243568,243568,df10e27c
Gross,Brighton,60307,60307,8aec0537
João Pedro,Brighton,475168,,e8832875
Karbownik,Brighton,442229,,1b280c66
Kozłowski,Brighton,484658,484658,3ece036c
Lallana,Brighton,39155,39155,99813635
Lamptey,Brighton,232792,232792,f4e433d4
March,Brighton,109345,109345,bb5fbd2b
McGill,Brighton,209288,,4eb2d015
Milner,Brighton,15157,15157,2f90f6b8
Mitoma,Brighton,451340,451340,74618572
Moder,Brighton,243505,243505,f230bc30
Sarmiento,Brighton,441192,441192,ac0d576d
Scherpen,Brighton,240514,240514,f0e4c69e
Steele,Brighton,49262,49262,28300a16
Undav,Brighton,450434,450434,dd549382
Van Hecke,Brighton,469142,469142,4fd08daa
Veltman,Brighton,111478,111478,dad4b285
Verbruggen,Brighton,489639,,cf134113
Webster,Brighton,110735,110735,c40b6180
Welbeck,Brighton,50175,50175,ce5143da
Zeqiri,Brighton,204676,,d01231f0
Igor,Brighton,223434,,a4e85758
Agyei,Burnley,578614,,5c374509
Al-Dakhil,Burnley,487968,,93e08bce
Bastien,Burnley,189776,,ec30b9c8
Benson,Burnley,183751,,bf3aeb61
Beyer,Burnley,241231,,9af1f9ff
Brownhill,Burnley,172782,,47369df8
Churlinov,Burnley,250735,,c6608135
Cork,Burnley,40145,,74e12f1e
Costelloe,Burnley,530873,,6281b7ed
Cullen,Burnley,172567,,f6d7d690
Egan-Riley,Burnley,432711,,d313e8ff
Ekdal,Burnley,478969,,3d554589
Foster,Burnley,435973,,f84a807c
Franchi,Burnley,493347,,aab362e6
Gudmundsson,Burnley,60586,,f72293fc
McNally,Burnley,483391,,22a93e73
Muric,Burnley,232917,,99aa1a84
O'Shea,Burnley,216616,,1d042188
Obafemi,Burnley,220598,,caa1a7f0
Peacock-Farrell,Burnley,220037,,4879f8cb
Roberts,Burnley,192290,,24fae784
Rodriguez,Burnley,44683,,4ab53cdb
Taylor,Burnley,103914,,cc2d7ad5
Thomas,Burnley,461102,,6a471ee8
Twine,Burnley,226473,,5a425cab
Vigouroux,Burnley,133085,,a949d040
Vitinho,Burnley,441455,,9295dc1c
Weghorst,Burnley,120202,120202,c4e87b8b
Zaroury,Burnley,511783,,07d65234
Amdouni,Burnley,492831,,2ee5b0c9
Trafford,Burnley,432720,,259fea27
Redmond,Burnley,83283,83283,ab651565
Koleosho,Burnley,487702,,fc076f78
Bruun Larsen,Burnley,179458,,4e204552
Sanchez,Chelsea,215059,215059,6a713852
Ampadu,Chelsea,199598,199598,10b9fa99
Andrey,Chelsea,532605,532605,dd745366
Arrizabalaga,Chelsea,109745,109745,28d596a0
Aubameyang,Chelsea,54694,54694,d5dd5f1f
Azpilicueta,Chelsea,41328,41328,53cad200
Baba,Chelsea,118335,,e4086af3
B.Badiashile,Chelsea,242880,242880,06df8256
Bettinelli,Chelsea,122074,122074,0d85a4e8
Broja,Chelsea,440323,440323,97220da2
Chalobah,Chelsea,180736,180736,5515376c
Chilwell,Chelsea,172850,172850,d2424d1b
Chukwuemeka,Chelsea,478912,478912,18c70acb
