code,link,date,season,name,dayofweek,comp,round,venue,result,team,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,name_link,assisted_shots,crosses_into_penalty_area,pass_xa,passes_completed_long,passes_completed_medium,passes_completed_short,passes_into_final_third,passes_into_penalty_area,passes_long,passes_medium,passes_pct_long,passes_pct_medium,passes_pct_short,passes_progressive_distance,passes_short,passes_total_distance,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,crosses,passes_blocked,passes_dead,passes_free_kicks,passes_live,passes_offsides,passes_switches,through_balls,throw_ins,gca_defense,gca_fouled,gca_passes_dead,gca_passes_live,gca_shots,gca_take_ons,sca_defense,sca_fouled,sca_passes_dead,sca_passes_live,sca_shots,sca_take_ons,blocked_passes,blocked_shots,challenge_tackles,challenge_tackles_pct,challenges,challenges_lost,clearances,errors,tackles_att_3rd,tackles_def_3rd,tackles_interceptions,tackles_mid_3rd,tackles_won,carries_distance,carries_into_final_third,carries_into_penalty_area,carries_progressive_distance,dispossessed,miscontrols,passes_received,progressive_passes_received,take_ons_tackled,take_ons_tackled_pct,take_ons_won_pct,touches_att_3rd,touches_att_pen_area,touches_def_3rd,touches_def_pen_area,touches_live_ball,touches_mid_3rd,aerials_lost,aerials_won,aerials_won_pct,ball_recoveries,cards_yellow_red,fouled,fouls,offsides,own_goals,pens_conceded,pens_won,scrape_datetime
733f1a7d,https://fbref.com//en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League,2023-08-19,20232024,Ben Doak,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Ben Doak', 'https://fbref.com//en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-25 00:55:42.669399
e814e1cf,https://fbref.com//en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,2023-08-12,20232024,Lewis Dobbin,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,N,LM,8,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,2,0,2,3,66.7,0,4,1,0,0,Match Report,"('Lewis Dobbin', 'https://fbref.com//en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League')",0,0,0.0,0,0,2,0,0,0,0,,,100.0,0,2,20,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,47,0,1,19,0,0,4,0,0,,,3,1,1,0,5,1,0,0,,1,0,1,0,0,0,0,0,2023-08-25 00:55:42.669399
e814e1cf,https://fbref.com//en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,2023-08-20,20232024,Lewis Dobbin,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,N,"RM,LM",45,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,9,14,64.3,0,15,1,5,3,Match Report,"('Lewis Dobbin', 'https://fbref.com//en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League')",1,0,0.0,0,2,7,0,0,1,5,0.0,40.0,87.5,5,8,98,0,0,0,0,2,0,2,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33.3,3,2,0,0,0,1,1,0,1,108,2,0,66,1,3,13,0,2,40.0,60.0,12,1,6,0,25,8,0,0,,2,0,1,0,0,0,0,0,2023-08-25 00:55:42.669399
67ac5bb8,https://fbref.com//en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,20232024,Gabriel Dos Santos,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (1),Arsenal,Manchester City,Y,CB,86,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,Match Report,"('Gabriel Dos Santos', 'https://fbref.com//en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield')",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,2023-08-25 00:55:42.669399
67ac5bb8,https://fbref.com//en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,20232024,Gabriel Dos Santos,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,N,CB,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Match Report,"('Gabriel Dos Santos', 'https://fbref.com//en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League')",0,0,0.0,0,1,1,0,0,1,1,0.0,100.0,100.0,6,1,33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,,0,0,3,0,4,1,0,0,,1,0,0,1,0,0,0,0,2023-08-25 00:55:42.669399
67ac5bb8,https://fbref.com//en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,20232024,Gabriel Dos Santos,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,N,CB,21,0,0,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Match Report,"('Gabriel Dos Santos', 'https://fbref.com//en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League')",0,0,0.0,0,2,1,0,0,1,2,0.0,100.0,50.0,0,2,54,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,100.0,1,0,1,0,0,1,1,0,1,3,0,0,1,0,0,4,0,0,,,0,0,6,5,9,3,1,0,0.0,0,0,0,1,0,0,0,0,2023-08-25 00:55:42.669399
02b29014,https://fbref.com//en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,2023-08-12,20232024,Abdoulaye Doucouré,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,FW,90,0,0,0,0,2,1,0,0,36,0,0,2,0.6,0.6,0.8,3,0,22,27,81.5,3,20,3,2,0,Match Report,"('Abdoulaye Doucouré', 'https://fbref.com//en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League')",3,0,0.1,0,10,10,2,1,0,10,,100.0,76.9,70,13,316,0,0,0,0,1,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,141,2,0,82,0,1,25,3,2,100.0,0.0,19,4,4,0,36,13,2,1,33.3,3,0,0,0,0,0,0,0,2023-08-25 00:55:42.669399
02b29014,https://fbref.com//en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,2023-08-20,20232024,Abdoulaye Doucouré,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"CM,FW",89,0,0,0,0,1,0,0,0,30,1,1,0,0.1,0.1,0.0,1,0,21,26,80.8,2,18,2,2,2,Match Report,"('Abdoulaye Doucouré', 'https://fbref.com//en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League')",1,0,0.0,1,7,11,0,0,2,9,50.0,77.8,84.6,43,13,283,0,0,0,0,2,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25.0,4,3,0,0,1,0,2,0,0,89,0,1,47,1,2,22,2,0,0.0,100.0,18,3,1,0,30,11,1,0,0.0,2,0,0,5,0,0,0,0,2023-08-25 00:55:42.669399
ce4f40c7,https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League,2023-08-12,20232024,Cheick Doucouré,Sat,Premier League,Matchweek 1,Away,W 1–0,Crystal Palace,Sheffield Utd,Y,DM,90,0,0,0,0,1,1,0,0,57,2,0,1,0.0,0.0,0.1,4,0,38,46,82.6,4,39,0,0,0,Match Report,"('Cheick Doucouré', 'https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League')",3,0,0.0,2,21,15,3,1,3,26,66.7,80.8,88.2,210,17,638,0,0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,100.0,2,0,0,0,2,0,2,0,1,173,1,0,50,1,6,44,0,0,,,12,1,9,1,57,37,1,1,50.0,7,0,0,2,0,0,0,0,2023-08-25 00:55:42.669399
ce4f40c7,https://fbref.com//en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,20232024,Cheick Doucouré,Mon,Premier League,Matchweek 2,Home,L 0–1,Crystal Palace,Arsenal,Y,DM,90,0,0,0,0,2,0,1,0,59,1,0,2,0.1,0.1,0.0,4,0,42,49,85.7,8,32,0,1,1,Match Report,"('Cheick Doucouré', 'https://fbref.com//en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League')",0,0,0.1,3,13,26,5,2,4,16,75.0,81.3,92.9,254,28,660,0,0,0,0,0,1,1,1,48,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0.0,1,1,1,0,0,0,1,1,1,101,2,0,49,1,1,43,0,0,0.0,100.0,18,1,14,2,59,27,1,2,66.7,5,0,0,1,0,0,0,0,2023-08-25 00:55:42.669399
