code,link,date,season,name,dayofweek,comp,round,venue,result,team,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,name_link,assisted_shots,crosses_into_penalty_area,pass_xa,passes_completed_long,passes_completed_medium,passes_completed_short,passes_into_final_third,passes_into_penalty_area,passes_long,passes_medium,passes_pct_long,passes_pct_medium,passes_pct_short,passes_progressive_distance,passes_short,passes_total_distance,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,crosses,passes_blocked,passes_dead,passes_free_kicks,passes_live,passes_offsides,passes_switches,through_balls,throw_ins,gca_defense,gca_fouled,gca_passes_dead,gca_passes_live,gca_shots,gca_take_ons,sca_defense,sca_fouled,sca_passes_dead,sca_passes_live,sca_shots,sca_take_ons,blocked_passes,blocked_shots,challenge_tackles,challenge_tackles_pct,challenges,challenges_lost,clearances,errors,tackles_att_3rd,tackles_def_3rd,tackles_interceptions,tackles_mid_3rd,tackles_won,carries_distance,carries_into_final_third,carries_into_penalty_area,carries_progressive_distance,dispossessed,miscontrols,passes_received,progressive_passes_received,take_ons_tackled,take_ons_tackled_pct,take_ons_won_pct,touches_att_3rd,touches_att_pen_area,touches_def_3rd,touches_def_pen_area,touches_live_ball,touches_mid_3rd,aerials_lost,aerials_won,aerials_won_pct,ball_recoveries,cards_yellow_red,fouled,fouls,offsides,own_goals,pens_conceded,pens_won,scrape_datetime
788c0277,https://fbref.com//en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League,2023-08-12,20232024,Chiedozie Ogbene,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,N,CB,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,1,0,Match Report,"('Chiedozie Ogbene', 'https://fbref.com//en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League')",0,0,0.0,1,1,1,0,0,1,1,100.0,100.0,100.0,25,1,64,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0.0,0.0,2,2,3,2,5,0,0,0,,2,0,1,0,0,0,0,0,2023-08-18 00:19:30.577107
828657ff,https://fbref.com//en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,2023-08-12,20232024,Amadou Onana,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,CM,90,0,0,0,0,1,1,0,0,38,0,1,1,0.1,0.1,1.1,5,0,27,32,84.4,4,25,2,0,0,Match Report,"('Amadou Onana', 'https://fbref.com//en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League')",3,0,0.4,5,4,16,4,1,5,6,100.0,66.7,94.1,164,17,467,0,0,0,0,0,1,0,0,31,1,1,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0.0,1,1,1,0,0,0,1,0,0,92,0,1,42,0,1,29,6,0,,,14,1,4,2,38,20,2,1,33.3,4,0,2,3,0,0,0,0,2023-08-18 00:19:30.577107
e9c0c1b2,https://fbref.com//en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,20232024,André Onana,Mon,Premier League,Matchweek 1,Home,W 1–0,Manchester Utd,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,31,43,72.1,0,30,0,0,0,Match Report,"('André Onana', 'https://fbref.com//en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League')",0,0,0.0,6,19,6,1,0,17,20,35.3,95.0,100.0,388,6,741,0,0,0,0,0,0,9,3,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,168,0,0,133,0,0,23,0,0,,,0,0,47,38,47,0,1,1,50.0,1,0,1,0,0,0,0,0,2023-08-18 00:19:30.577107
79bc4c45,https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League,2023-08-12,20232024,Ben Osborn,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,LW,86,0,0,0,0,1,0,0,0,41,2,0,6,0.1,0.1,0.0,0,0,11,22,50.0,3,11,0,1,0,Match Report,"('Ben Osborn', 'https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League')",0,0,0.0,0,2,7,0,0,4,4,0.0,50.0,63.6,49,11,119,0,0,0,0,2,0,3,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,50.0,2,1,3,0,1,0,2,1,0,56,0,0,5,0,2,16,2,1,100.0,0.0,13,1,10,0,41,19,0,0,,5,0,0,0,0,0,0,0,2023-08-18 00:19:30.577107
7b355808,https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League,2023-08-12,20232024,William Osula,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,FW,90,0,0,0,0,2,0,1,0,22,0,0,1,0.2,0.2,0.0,0,0,6,9,66.7,0,13,1,2,0,Match Report,"('William Osula', 'https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League')",0,1,0.0,1,1,3,1,1,2,1,50.0,100.0,75.0,10,4,109,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,71,1,0,11,2,3,15,5,1,50.0,0.0,11,2,3,0,22,8,12,1,7.7,2,0,3,3,2,0,0,0,2023-08-18 00:19:30.577107
dc7f8a28,https://fbref.com//en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,20232024,Cole Palmer,Sun,Community Shield,FA Community Shield,Neutral,D 1 (1)–1 (4),Manchester City,Arsenal,N,,27,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,"('Cole Palmer', 'https://fbref.com//en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield')",,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,2023-08-18 00:19:30.577107
dc7f8a28,https://fbref.com//en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,20232024,Cole Palmer,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,N,LM,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,0,0,0,Match Report,"('Cole Palmer', 'https://fbref.com//en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League')",0,0,0.0,0,2,2,0,0,0,3,,66.7,100.0,0,2,51,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,35,0,0,4,0,1,6,0,0,,,2,0,0,0,6,4,0,0,,0,0,0,1,0,0,0,0,2023-08-18 00:19:30.577107
dc7f8a28,https://fbref.com//en/matches/572ae2f0/Manchester-City-Sevilla-August-16-2023-UEFA-Super-Cup,2023-08-16,20232024,Cole Palmer,Wed,Super Cup,UEFA Super Cup,Home,D 1 (5)–1 (4),eng Manchester City,es Sevilla,Y,AM,84,1,0,0,0,4,3,0,0,,,0,,,,,,,,,,,,,,,Match Report,"('Cole Palmer', 'https://fbref.com//en/matches/572ae2f0/Manchester-City-Sevilla-August-16-2023-UEFA-Super-Cup')",,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,2023-08-18 00:19:30.577107
e0bc6fdc,https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,2023-08-12,20232024,Emerson Palmieri,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,LB,90,0,0,0,0,0,0,1,0,50,4,1,1,0.0,0.0,0.1,2,0,26,38,68.4,3,17,0,0,0,Match Report,"('Emerson Palmieri', 'https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League')",2,1,0.2,3,7,15,1,2,4,12,75.0,58.3,83.3,271,18,419,0,0,0,0,2,2,5,0,33,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,50.0,2,1,1,0,0,3,5,1,2,44,0,0,33,0,2,21,2,0,,,11,2,21,5,50,18,0,3,100.0,3,0,0,2,0,0,0,0,2023-08-18 00:19:30.577107
9b6f7fd5,https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,2023-08-12,20232024,Lucas Paquetá,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,"DM,AM",89,0,0,0,0,3,0,1,0,57,8,0,0,0.2,0.2,0.1,2,0,31,40,77.5,6,27,0,2,0,Match Report,"('Lucas Paquetá', 'https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League')",2,0,0.2,3,12,15,2,1,8,13,37.5,92.3,93.8,183,16,491,0,0,0,0,0,1,1,0,39,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,100.0,3,0,1,0,0,5,8,3,7,148,1,0,49,1,2,31,1,2,100.0,0.0,8,3,19,2,57,30,0,2,100.0,14,0,3,4,0,0,0,0,2023-08-18 00:19:30.577107
